sequence,title,timestamp,source_video,corpus_status,notes
1,Colloquial Time Bee,00:05:26,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
2,Mikulang,00:20:01,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
3,Safetylang,00:43:17,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
4,The Secret Language of New England,00:56:41,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
5,The Language Without a Name,01:19:00,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
6,Wakey-Wakey,01:30:50,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
7,Medjedic,01:55:43,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
8,Yodean,02:32:03,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
9,Middle Cho-jan,03:20:42,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
10,Two Colons,03:38:35,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
11,Voidgloom,03:53:25,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
12,Silberzunge,04:14:28,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
13,Emotian,04:14:53,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
14,Polterguese,04:43:02,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
15,"9,133,162 (MATHLANG)",05:14:43,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
16,Hyadesian Factorlang,05:26:01,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
17,Butago,06:03:00,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
18,Chromatish,06:28:01,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
19,The Language of the Gods,06:33:23,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
20,Frogsong,06:59:21,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
21,Samplese,07:13:38,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
22,Lĩhusã,07:25:10,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
23,Amnenas,07:53:01,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
24,La Langue Sonorisée,08:03:43,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
25,Scientologese,08:32:00,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
26,Epic Avian,08:49:58,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
27,Co Critic,09:12:00,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
28,Not Our Language,09:23:30,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
29,Mhoi-tzwlaa-d,09:49:23,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
30,Tzasang,10:08:47,https://www.youtube.com/watch?v=a9Hu5c32pkY,identified,CCC4 finalist
