sequence,"title",timestamp,individual_url,transcript,feature_record
1,"Colloquial Time Bee",00:05:26,,pending,pending
2,"Mikulang",00:20:01,,pending,pending
3,"Safetylang",00:43:17,,pending,pending
4,"The Secret Language of New England",00:56:41,,pending,pending
5,"The Language Without a Name",01:19:00,,pending,pending
6,"Wakey-Wakey",01:30:50,,pending,pending
7,"Medjedic",01:55:43,,pending,pending
8,"Yodean",02:32:03,,pending,pending
9,"Middle Cho-jan",03:20:42,,pending,pending
10,"Two Colons",03:38:35,,pending,pending
11,"Voidgloom",03:53:25,,pending,pending
12,"Silberzunge",04:14:28,,pending,pending
13,"Emotian",04:14:53,,pending,pending
14,"Polterguese",04:43:02,,pending,pending
15,"9,133,162 (MATHLANG)",05:14:43,,pending,pending
16,"Hyadesian Factorlang",05:26:01,,pending,pending
17,"Butago",06:03:00,,pending,pending
18,"Chromatish",06:28:01,,pending,pending
19,"The Language of the Gods",06:33:23,,pending,pending
20,"Frogsong",06:59:21,,pending,pending
21,"Samplese",07:13:38,,pending,pending
22,"Lĩhusã",07:25:10,,pending,pending
23,"Amnenas",07:53:01,,pending,pending
24,"La Langue Sonorisée",08:03:43,,pending,pending
25,"Scientologese",08:32:00,,pending,pending
26,"Epic Avian",08:49:58,,pending,pending
27,"Co Critic",09:12:00,,pending,pending
28,"Not Our Language",09:23:30,,pending,pending
29,"Mhoi-tzwlaa-d",09:49:23,,pending,pending
30,"Tzasang",10:08:47,,pending,pending
